Date	Close
02/01/2015 16:00:00	85.39
05/01/2015 16:00:00	85.59
06/01/2015 16:00:00	84.95
07/01/2015 16:00:00	84.76
08/01/2015 16:00:00	85.04
09/01/2015 16:00:00	85.68
12/01/2015 16:00:00	85.3
13/01/2015 16:00:00	84.95
14/01/2015 16:00:00	83.33
15/01/2015 16:00:00	83.16
16/01/2015 16:00:00	83.22
19/01/2015 16:00:00	82.76
20/01/2015 16:00:00	83.15
21/01/2015 16:00:00	84.32
22/01/2015 16:00:00	84.88
23/01/2015 16:00:00	85.87
27/01/2015 16:00:00	87.27
28/01/2015 16:00:00	87.34
29/01/2015 16:00:00	88.39
30/01/2015 16:00:00	88.96
02/02/2015 16:00:00	89.31
03/02/2015 16:00:00	90.03
04/02/2015 16:00:00	90.41
05/02/2015 16:00:00	92.88
06/02/2015 16:00:00	92.6
09/02/2015 16:00:00	92.55
10/02/2015 16:00:00	92.21
11/02/2015 16:00:00	91.48
12/02/2015 16:00:00	90.8
13/02/2015 16:00:00	92.76
16/02/2015 16:00:00	93.08
17/02/2015 16:00:00	89.63
18/02/2015 16:00:00	90.33
19/02/2015 16:00:00	90.76
20/02/2015 16:00:00	89.84
23/02/2015 16:00:00	90.04
24/02/2015 16:00:00	90.66
25/02/2015 16:00:00	90.49
26/02/2015 16:00:00	90.05
27/02/2015 16:00:00	91.54
02/03/2015 16:00:00	92.17
03/03/2015 16:00:00	91.54
04/03/2015 16:00:00	90.75
05/03/2015 16:00:00	90.74
06/03/2015 16:00:00	90.71
09/03/2015 16:00:00	90.15
10/03/2015 16:00:00	90.3
11/03/2015 16:00:00	90.15
12/03/2015 16:00:00	91.44
13/03/2015 16:00:00	90.94
16/03/2015 16:00:00	91.41
17/03/2015 16:00:00	93.02
18/03/2015 16:00:00	93
19/03/2015 16:00:00	95.21
20/03/2015 16:00:00	95.92
23/03/2015 16:00:00	95.08
24/03/2015 16:00:00	94.7
25/03/2015 16:00:00	95.46
26/03/2015 16:00:00	93.45
27/03/2015 16:00:00	93.95
30/03/2015 16:00:00	92.71
31/03/2015 16:00:00	93.01
01/04/2015 16:00:00	92.93
02/04/2015 16:00:00	94.01
07/04/2015 16:00:00	93.82
08/04/2015 16:00:00	93.61
09/04/2015 16:00:00	93.46
10/04/2015 16:00:00	93.74
13/04/2015 16:00:00	93.71
14/04/2015 16:00:00	93.41
15/04/2015 16:00:00	92.06
16/04/2015 16:00:00	92.62
17/04/2015 16:00:00	91.7
20/04/2015 16:00:00	90.95
21/04/2015 16:00:00	91.4
22/04/2015 16:00:00	90.74
23/04/2015 16:00:00	90.34
24/04/2015 16:00:00	91.72
27/04/2015 16:00:00	92.34
28/04/2015 16:00:00	92.2
29/04/2015 16:00:00	90.2
30/04/2015 16:00:00	88.5
01/05/2015 16:00:00	88.55
04/05/2015 16:00:00	87.65
06/05/2015 16:00:00	82.64
07/05/2015 16:00:00	82.77
08/05/2015 16:00:00	82.3
11/05/2015 16:00:00	81.83
12/05/2015 16:00:00	82.54
13/05/2015 16:00:00	83.63
14/05/2015 16:00:00	83.27
15/05/2015 16:00:00	84.4
18/05/2015 16:00:00	82.66
19/05/2015 16:00:00	82.51
20/05/2015 16:00:00	82.15
21/05/2015 16:00:00	83.21
22/05/2015 16:00:00	82.77
25/05/2015 16:00:00	83.65
26/05/2015 16:00:00	84.29
27/05/2015 16:00:00	83.78
28/05/2015 16:00:00	83.15
29/05/2015 16:00:00	84.74
01/06/2015 16:00:00	84.13
02/06/2015 16:00:00	82.66
03/06/2015 16:00:00	81.23
04/06/2015 16:00:00	80.21
05/06/2015 16:00:00	79.96
09/06/2015 16:00:00	79.49
10/06/2015 16:00:00	79.58
11/06/2015 16:00:00	81.07
12/06/2015 16:00:00	81.08
15/06/2015 16:00:00	81.55
16/06/2015 16:00:00	82.04
17/06/2015 16:00:00	83.91
18/06/2015 16:00:00	82.86
19/06/2015 16:00:00	84.12
22/06/2015 16:00:00	84.67
23/06/2015 16:00:00	86.4
24/06/2015 16:00:00	86.83
25/06/2015 16:00:00	86.93
26/06/2015 16:00:00	86.29
29/06/2015 16:00:00	84.34
30/06/2015 16:00:00	84.78
01/07/2015 16:00:00	85.66
02/07/2015 16:00:00	87.09
03/07/2015 16:00:00	86.3
06/07/2015 16:00:00	85.94
07/07/2015 16:00:00	87.33
08/07/2015 16:00:00	85.41
09/07/2015 16:00:00	85.25
10/07/2015 16:00:00	85.43
13/07/2015 16:00:00	84.83
14/07/2015 16:00:00	85.89
15/07/2015 16:00:00	86.76
16/07/2015 16:00:00	87.6
17/07/2015 16:00:00	87.62
20/07/2015 16:00:00	87.99
21/07/2015 16:00:00	87.74
22/07/2015 16:00:00	86.27
23/07/2015 16:00:00	85.94
24/07/2015 16:00:00	85.45
27/07/2015 16:00:00	85.73
28/07/2015 16:00:00	85.99
29/07/2015 16:00:00	86.24
30/07/2015 16:00:00	86.72
31/07/2015 16:00:00	87.2
03/08/2015 16:00:00	87.01
04/08/2015 16:00:00	87.67
05/08/2015 16:00:00	87.01
06/08/2015 16:00:00	84.2
07/08/2015 16:00:00	80.96
10/08/2015 16:00:00	81.8
11/08/2015 16:00:00	81.78
17/08/2015 16:00:00	81.27
18/08/2015 16:00:00	76.91
19/08/2015 16:00:00	78.27
20/08/2015 16:00:00	76.15
21/08/2015 16:00:00	75.59
24/08/2015 16:00:00	72.47
25/08/2015 16:00:00	75.08
26/08/2015 16:00:00	76.13
27/08/2015 16:00:00	76.43
28/08/2015 16:00:00	76.36
31/08/2015 16:00:00	75.08
01/09/2015 16:00:00	73.3
02/09/2015 16:00:00	73.63
03/09/2015 16:00:00	71.97
04/09/2015 16:00:00	72.15
07/09/2015 16:00:00	72.32
08/09/2015 16:00:00	74.17
09/09/2015 16:00:00	76.72
10/09/2015 16:00:00	75.13
14/09/2015 16:00:00	74.55
15/09/2015 16:00:00	73.42
16/09/2015 16:00:00	75.35
17/09/2015 16:00:00	75.59
