Date	Close
02/01/2015 16:00:00	5.97
05/01/2015 16:00:00	5.98
06/01/2015 16:00:00	5.94
07/01/2015 16:00:00	5.95
08/01/2015 16:00:00	6.02
09/01/2015 16:00:00	6.07
12/01/2015 16:00:00	6.04
13/01/2015 16:00:00	6.11
14/01/2015 16:00:00	6.17
15/01/2015 16:00:00	6.2
16/01/2015 16:00:00	6.22
19/01/2015 16:00:00	6.17
20/01/2015 16:00:00	6.19
21/01/2015 16:00:00	6.27
22/01/2015 16:00:00	6.27
23/01/2015 16:00:00	6.34
27/01/2015 16:00:00	6.44
28/01/2015 16:00:00	6.49
29/01/2015 16:00:00	6.47
30/01/2015 16:00:00	6.5
02/02/2015 16:00:00	6.53
03/02/2015 16:00:00	6.67
04/02/2015 16:00:00	6.6
05/02/2015 16:00:00	6.67
06/02/2015 16:00:00	6.59
09/02/2015 16:00:00	6.51
10/02/2015 16:00:00	6.51
11/02/2015 16:00:00	6.49
12/02/2015 16:00:00	6.45
13/02/2015 16:00:00	6.59
16/02/2015 16:00:00	6.58
17/02/2015 16:00:00	6.58
18/02/2015 16:00:00	6.63
19/02/2015 16:00:00	6.61
20/02/2015 16:00:00	6.61
23/02/2015 16:00:00	6.63
24/02/2015 16:00:00	6.59
25/02/2015 16:00:00	6.46
26/02/2015 16:00:00	6.31
27/02/2015 16:00:00	6.37
02/03/2015 16:00:00	6.42
03/03/2015 16:00:00	6.38
04/03/2015 16:00:00	6.32
05/03/2015 16:00:00	6.32
06/03/2015 16:00:00	6.28
09/03/2015 16:00:00	6.14
10/03/2015 16:00:00	6.2
11/03/2015 16:00:00	6.22
12/03/2015 16:00:00	6.29
13/03/2015 16:00:00	6.2
16/03/2015 16:00:00	6.14
17/03/2015 16:00:00	6.25
18/03/2015 16:00:00	6.3
19/03/2015 16:00:00	6.41
20/03/2015 16:00:00	6.37
23/03/2015 16:00:00	6.35
24/03/2015 16:00:00	6.38
25/03/2015 16:00:00	6.37
26/03/2015 16:00:00	6.3
27/03/2015 16:00:00	6.38
30/03/2015 16:00:00	6.29
31/03/2015 16:00:00	6.31
01/04/2015 16:00:00	6.33
02/04/2015 16:00:00	6.32
07/04/2015 16:00:00	6.33
08/04/2015 16:00:00	6.32
09/04/2015 16:00:00	6.27
10/04/2015 16:00:00	6.28
13/04/2015 16:00:00	6.32
14/04/2015 16:00:00	6.28
15/04/2015 16:00:00	6.19
16/04/2015 16:00:00	6.23
17/04/2015 16:00:00	6.14
20/04/2015 16:00:00	6.17
21/04/2015 16:00:00	6.19
22/04/2015 16:00:00	6.25
23/04/2015 16:00:00	6.26
24/04/2015 16:00:00	6.32
27/04/2015 16:00:00	6.39
28/04/2015 16:00:00	6.37
29/04/2015 16:00:00	6.32
30/04/2015 16:00:00	6.23
01/05/2015 16:00:00	6.24
04/05/2015 16:00:00	6.31
06/05/2015 16:00:00	6.23
07/05/2015 16:00:00	6.15
08/05/2015 16:00:00	6.17
11/05/2015 16:00:00	6.05
12/05/2015 16:00:00	6.11
13/05/2015 16:00:00	6.15
14/05/2015 16:00:00	6.15
15/05/2015 16:00:00	6.2
18/05/2015 16:00:00	6.18
19/05/2015 16:00:00	6.13
20/05/2015 16:00:00	6.13
21/05/2015 16:00:00	6.18
22/05/2015 16:00:00	6.2
25/05/2015 16:00:00	6.28
26/05/2015 16:00:00	6.29
27/05/2015 16:00:00	6.21
28/05/2015 16:00:00	6.15
29/05/2015 16:00:00	6.22
01/06/2015 16:00:00	6.2
02/06/2015 16:00:00	6.14
03/06/2015 16:00:00	6.09
04/06/2015 16:00:00	6
05/06/2015 16:00:00	6.01
09/06/2015 16:00:00	6.02
10/06/2015 16:00:00	5.96
11/06/2015 16:00:00	6.04
12/06/2015 16:00:00	6.03
15/06/2015 16:00:00	5.99
16/06/2015 16:00:00	6.03
17/06/2015 16:00:00	6.12
18/06/2015 16:00:00	6.09
19/06/2015 16:00:00	6.13
22/06/2015 16:00:00	6.18
23/06/2015 16:00:00	6.28
24/06/2015 16:00:00	6.34
25/06/2015 16:00:00	6.29
26/06/2015 16:00:00	6.2
29/06/2015 16:00:00	6.07
30/06/2015 16:00:00	6.14
01/07/2015 16:00:00	6.15
02/07/2015 16:00:00	6.19
03/07/2015 16:00:00	6.13
06/07/2015 16:00:00	6.12
07/07/2015 16:00:00	6.27
08/07/2015 16:00:00	6.16
09/07/2015 16:00:00	6.18
10/07/2015 16:00:00	6.21
13/07/2015 16:00:00	6.23
14/07/2015 16:00:00	6.32
15/07/2015 16:00:00	6.38
16/07/2015 16:00:00	6.46
17/07/2015 16:00:00	6.42
20/07/2015 16:00:00	6.42
21/07/2015 16:00:00	6.43
22/07/2015 16:00:00	6.34
23/07/2015 16:00:00	6.35
24/07/2015 16:00:00	6.36
27/07/2015 16:00:00	6.39
28/07/2015 16:00:00	6.39
29/07/2015 16:00:00	6.41
30/07/2015 16:00:00	6.45
31/07/2015 16:00:00	6.49
03/08/2015 16:00:00	6.44
04/08/2015 16:00:00	6.5
05/08/2015 16:00:00	6.43
06/08/2015 16:00:00	6.4
07/08/2015 16:00:00	6.29
10/08/2015 16:00:00	6.33
11/08/2015 16:00:00	6.31
12/08/2015 16:00:00	6.24
13/08/2015 16:00:00	6.1
14/08/2015 16:00:00	6.08
17/08/2015 16:00:00	6.09
18/08/2015 16:00:00	6.12
19/08/2015 16:00:00	6.21
20/08/2015 16:00:00	6.12
21/08/2015 16:00:00	6.07
24/08/2015 16:00:00	5.88
25/08/2015 16:00:00	5.83
26/08/2015 16:00:00	5.86
27/08/2015 16:00:00	5.9
28/08/2015 16:00:00	5.82
31/08/2015 16:00:00	5.77
01/09/2015 16:00:00	5.66
02/09/2015 16:00:00	5.65
03/09/2015 16:00:00	5.56
04/09/2015 16:00:00	5.61
07/09/2015 16:00:00	5.6
08/09/2015 16:00:00	5.68
09/09/2015 16:00:00	5.79
